"filename", "language", "TypeScript", "TypeScript JSX", "JSON with Comments", "Vue", "SCSS", "JSON", "Markdown", "comment", "blank", "total"
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-schema.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 10, 94
"e:\enLearn\packages\lowcode-framework\src\lowcode\metadata-options.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 6, 42
"e:\enLearn\packages\lowcode-framework\src\lowcode\schema.ts", "TypeScript", 815, 0, 0, 0, 0, 0, 0, 0, 126, 941
"e:\enLearn\packages\lowcode-framework\src\lowcode\visual-converters\helpers.ts", "TypeScript", 494, 0, 0, 0, 0, 0, 0, 0, 65, 559
"e:\enLearn\packages\lowcode-framework\src\lowcode\visual-converters\index.ts", "TypeScript", 936, 0, 0, 0, 0, 0, 0, 2, 72, 1010
"e:\enLearn\packages\lowcode-framework\src\lowcode\visual-converters\layout\index.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 0, 0, 12, 127
"e:\enLearn\packages\lowcode-framework\src\lowcode\visual-converters\lowcode-button-group\index.ts", "TypeScript", 133, 0, 0, 0, 0, 0, 0, 0, 14, 147
"e:\enLearn\packages\lowcode-framework\src\lowcode\visual-converters\lowcode-edit-form\index.ts", "TypeScript", 154, 0, 0, 0, 0, 0, 0, 0, 14, 168
"e:\enLearn\packages\lowcode-framework\src\lowcode\visual-converters\lowcode-grid\index.ts", "TypeScript", 324, 0, 0, 0, 0, 0, 0, 0, 29, 353
"e:\enLearn\packages\lowcode-framework\src\lowcode\visual-converters\lowcode-modal\index.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 7, 68
"e:\enLearn\packages\lowcode-framework\src\lowcode\visual-converters\lowcode-search-form\index.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 4, 70
"e:\enLearn\packages\lowcode-framework\src\lowcode\visual-converters\planning-visual\index.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 0, 0, 8, 95
"e:\enLearn\packages\lowcode-framework\src\lowcode\visual-converters\types.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 6, 52
"e:\enLearn\packages\lowcode-framework\src\lowcode\visual-converters\vxe-tabs\index.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 0, 7, 70
"e:\enLearn\packages\lowcode-framework\src\materials\index.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 9, 54
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\array-table\index.tsx", "TypeScript JSX", 0, 141, 0, 0, 0, 0, 0, 0, 15, 156
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\button\index.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\checkbox\index.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\datetimePicker\index.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\divider\index.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\image\index.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 0, 3, 3, 41
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\index.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\input\index.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\nav-bar\index.tsx", "TypeScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 5, 57
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\notice-bar\index.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\picker\index.tsx", "TypeScript JSX", 0, 63, 0, 0, 0, 0, 0, 0, 4, 67
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\process\index.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\radio\index.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\rate\index.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\slider\index.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\stepper\index.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 2, 35
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\sub-form\index.tsx", "TypeScript JSX", 0, 56, 0, 0, 0, 0, 0, 0, 5, 61
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\swipe\index.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"e:\enLearn\packages\lowcode-framework\src\packages\base-widgets\switch\index.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
