"filename", "language", "TypeScript", "JSON with Comments", "YAML", "JSON", "Vue", "Markdown", "CSS", "HTML", "JavaScript", "TypeScript JSX", "Skill", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"e:\enLearn\packages\gantt-main\store\test\scales.spec.ts", "TypeScript", -39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -46
"e:\enLearn\packages\gantt-main\store\test\scroll.spec.ts", "TypeScript", -56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, -71
"e:\enLearn\packages\gantt-main\store\test\sidebar.spec.ts", "TypeScript", -13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -16
"e:\enLearn\packages\gantt-main\store\test\split.spec.ts", "TypeScript", -122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -125
"e:\enLearn\packages\gantt-main\store\test\stubs\data.ts", "TypeScript", -1169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, -34, -1219
"e:\enLearn\packages\gantt-main\store\test\stubs\writable.ts", "TypeScript", -23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -26
"e:\enLearn\packages\gantt-main\store\test\summaries.spec.ts", "TypeScript", -575, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -36, -130, -741
"e:\enLearn\packages\gantt-main\store\test\tasks.spec.ts", "TypeScript", -102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -119
"e:\enLearn\packages\gantt-main\store\test\time.spec.ts", "TypeScript", -163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, -190
"e:\enLearn\packages\gantt-main\store\test\wbs.spec.ts", "TypeScript", -81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -21, -103
"e:\enLearn\packages\gantt-main\store\test\zoom.spec.ts", "TypeScript", -209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -37, -251
"e:\enLearn\packages\gantt-main\store\tsconfig.json", "JSON with Comments", 0, -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -25
"e:\enLearn\packages\gantt-main\store\vite.config.ts", "TypeScript", -88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -98
"e:\enLearn\packages\gantt-main\tsconfig.tools.json", "JSON", 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -21
"e:\enLearn\packages\gantt-main\vitest.workspace.ts", "TypeScript", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -7
"e:\enLearn\packages\gantt-main\vue\demo\App.vue", "Vue", 0, 0, 0, 0, -119, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, -132
"e:\enLearn\packages\gantt-main\vue\demo\main.ts", "TypeScript", -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -11
"e:\enLearn\packages\gantt-main\vue\eslint.config.ts", "TypeScript", -48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -50
"e:\enLearn\packages\gantt-main\vue\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, 0, 0, 0, -1, -14
"e:\enLearn\packages\gantt-main\vue\package.json", "JSON", 0, 0, 0, -70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -71
"e:\enLearn\packages\gantt-main\vue\readme.md", "Markdown", 0, 0, 0, 0, 0, -29, 0, 0, 0, 0, 0, 0, 0, 0, -6, -35
"e:\enLearn\packages\gantt-main\vue\scripts\run-eslint.ts", "TypeScript", -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -14
"e:\enLearn\packages\gantt-main\vue\src\components\ContextMenu.vue", "Vue", 0, 0, 0, 0, -186, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29, -215
"e:\enLearn\packages\gantt-main\vue\src\components\Editor.vue", "Vue", 0, 0, 0, 0, -405, 0, 0, 0, 0, 0, 0, 0, 0, 0, -53, -458
"e:\enLearn\packages\gantt-main\vue\src\components\Export.vue", "Vue", 0, 0, 0, 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -22
"e:\enLearn\packages\gantt-main\vue\src\components\Gantt.vue", "Vue", 0, 0, 0, 0, -269, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, -293
"e:\enLearn\packages\gantt-main\vue\src\components\Layout.vue", "Vue", 0, 0, 0, 0, -208, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, -231
"e:\enLearn\packages\gantt-main\vue\src\components\Resizer.vue", "Vue", 0, 0, 0, 0, -244, 0, 0, 0, 0, 0, 0, 0, 0, 0, -49, -293
"e:\enLearn\packages\gantt-main\vue\src\components\Toolbar.vue", "Vue", 0, 0, 0, 0, -95, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -106
"e:\enLearn\packages\gantt-main\vue\src\components\chart\BarSegments.vue", "Vue", 0, 0, 0, 0, -71, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -78
"e:\enLearn\packages\gantt-main\vue\src\components\chart\Bars.vue", "Vue", 0, 0, 0, 0, -1008, 0, 0, 0, 0, 0, 0, 0, 0, 0, -99, -1107
"e:\enLearn\packages\gantt-main\vue\src\components\chart\CellGrid.vue", "Vue", 0, 0, 0, 0, -33, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -37
"e:\enLearn\packages\gantt-main\vue\src\components\chart\Chart.vue", "Vue", 0, 0, 0, 0, -309, 0, 0, 0, 0, 0, 0, 0, 0, 0, -50, -359
"e:\enLearn\packages\gantt-main\vue\src\components\chart\Links.vue", "Vue", 0, 0, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -107
"e:\enLearn\packages\gantt-main\vue\src\components\chart\Rollups.vue", "Vue", 0, 0, 0, 0, -36, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -42
"e:\enLearn\packages\gantt-main\vue\src\components\chart\TimeScale.vue", "Vue", 0, 0, 0, 0, -109, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -121
"e:\enLearn\packages\gantt-main\vue\src\components\editor\DateTimePicker.vue", "Vue", 0, 0, 0, 0, -43, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -50
"e:\enLearn\packages\gantt-main\vue\src\components\editor\GridSection.vue", "Vue", 0, 0, 0, 0, -52, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -58
"e:\enLearn\packages\gantt-main\vue\src\components\editor\LinkTypeCell.vue", "Vue", 0, 0, 0, 0, -32, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -37
"e:\enLearn\packages\gantt-main\vue\src\components\editor\Links.vue", "Vue", 0, 0, 0, 0, -220, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, -244
"e:\enLearn\packages\gantt-main\vue\src\components\editor\Resources.vue", "Vue", 0, 0, 0, 0, -257, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32, -289
"e:\enLearn\packages\gantt-main\vue\src\components\editor\ResourcesEditorCell.vue", "Vue", 0, 0, 0, 0, -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -33
"e:\enLearn\packages\gantt-main\vue\src\components\editor\Segments.vue", "Vue", 0, 0, 0, 0, -162, 0, 0, 0, 0, 0, 0, 0, 0, 0, -21, -183
